,Media,Positive score,Neutral score,Negative score,Compound score,Date Created,Tweets Ago
24,nytimes,0.0,1.0,0.0,0.0,2018-08-29 00:22:05+00:00,-24
25,nytimes,0.0,1.0,0.0,0.0,2018-08-29 00:11:02+00:00,-25
26,nytimes,0.0,1.0,0.0,0.0,2018-08-29 00:02:04+00:00,-26
27,nytimes,0.111,0.889,0.0,0.3612,2018-08-28 23:51:02+00:00,-27
28,nytimes,0.0,0.909,0.091,-0.25,2018-08-28 23:41:02+00:00,-28
29,nytimes,0.132,0.676,0.193,-0.2023,2018-08-28 23:32:06+00:00,-29
30,nytimes,0.209,0.719,0.072,0.7004,2018-08-28 23:17:47+00:00,-30
31,nytimes,0.104,0.896,0.0,0.3254,2018-08-28 23:17:04+00:00,-31
32,nytimes,0.0,1.0,0.0,0.0,2018-08-28 23:12:13+00:00,-32
33,nytimes,0.0,1.0,0.0,0.0,2018-08-28 23:02:08+00:00,-33
34,nytimes,0.257,0.653,0.09,0.6249,2018-08-28 22:47:02+00:00,-34
35,nytimes,0.178,0.822,0.0,0.5994,2018-08-28 22:31:06+00:00,-35
36,nytimes,0.0,1.0,0.0,0.0,2018-08-28 22:17:05+00:00,-36
37,nytimes,0.0,0.562,0.438,-0.9136,2018-08-28 22:00:11+00:00,-37
38,nytimes,0.0,1.0,0.0,0.0,2018-08-28 21:45:01+00:00,-38
39,nytimes,0.344,0.656,0.0,0.836,2018-08-28 21:32:04+00:00,-39
40,nytimes,0.175,0.825,0.0,0.4137,2018-08-28 21:17:06+00:00,-40
41,nytimes,0.172,0.828,0.0,0.3612,2018-08-28 21:00:25+00:00,-41
42,nytimes,0.0,0.885,0.115,-0.3818,2018-08-28 20:45:08+00:00,-42
43,nytimes,0.185,0.815,0.0,0.5267,2018-08-28 20:35:39+00:00,-43
44,nytimes,0.0,1.0,0.0,0.0,2018-08-28 20:27:48+00:00,-44
45,nytimes,0.0,0.742,0.258,-0.7096,2018-08-28 20:18:43+00:00,-45
46,nytimes,0.0,1.0,0.0,0.0,2018-08-28 20:15:05+00:00,-46
47,nytimes,0.0,0.889,0.111,-0.25,2018-08-28 20:00:14+00:00,-47
48,nytimes,0.0,1.0,0.0,0.0,2018-08-28 19:45:05+00:00,-48
49,nytimes,0.0,0.822,0.178,-0.5994,2018-08-28 19:30:05+00:00,-49
50,nytimes,0.0,1.0,0.0,0.0,2018-08-28 19:15:01+00:00,-50
51,nytimes,0.0,1.0,0.0,0.0,2018-08-28 19:07:05+00:00,-51
52,nytimes,0.0,0.804,0.196,-0.5267,2018-08-28 19:00:08+00:00,-52
53,nytimes,0.375,0.625,0.0,0.6369,2018-08-28 18:55:28+00:00,-53
54,nytimes,0.098,0.902,0.0,0.3612,2018-08-28 18:45:05+00:00,-54
55,nytimes,0.0,1.0,0.0,0.0,2018-08-28 18:30:06+00:00,-55
56,nytimes,0.0,1.0,0.0,0.0,2018-08-28 18:25:06+00:00,-56
57,nytimes,0.0,1.0,0.0,0.0,2018-08-28 18:22:58+00:00,-57
58,nytimes,0.179,0.821,0.0,0.4019,2018-08-28 18:15:07+00:00,-58
59,nytimes,0.0,1.0,0.0,0.0,2018-08-28 18:04:04+00:00,-59
60,nytimes,0.0,1.0,0.0,0.0,2018-08-28 18:02:03+00:00,-60
61,nytimes,0.0,1.0,0.0,0.0,2018-08-28 18:00:08+00:00,-61
62,nytimes,0.0,0.938,0.062,-0.1531,2018-08-28 17:30:08+00:00,-62
63,nytimes,0.0,0.876,0.124,-0.3724,2018-08-28 17:20:06+00:00,-63
64,nytimes,0.103,0.897,0.0,0.3182,2018-08-28 17:10:09+00:00,-64
65,nytimes,0.0,0.9,0.1,-0.25,2018-08-28 17:00:06+00:00,-65
66,nytimes,0.0,1.0,0.0,0.0,2018-08-28 16:45:04+00:00,-66
67,nytimes,0.0,1.0,0.0,0.0,2018-08-28 16:40:07+00:00,-67
68,nytimes,0.252,0.748,0.0,0.7506,2018-08-28 16:30:09+00:00,-68
69,nytimes,0.12,0.788,0.091,0.1779,2018-08-28 16:15:10+00:00,-69
70,nytimes,0.0,1.0,0.0,0.0,2018-08-28 16:00:13+00:00,-70
71,nytimes,0.0,1.0,0.0,0.0,2018-08-28 15:52:01+00:00,-71
72,nytimes,0.0,0.708,0.292,-0.765,2018-08-28 15:45:10+00:00,-72
73,nytimes,0.149,0.851,0.0,0.4215,2018-08-28 15:30:08+00:00,-73
74,nytimes,0.0,0.757,0.243,-0.6997,2018-08-28 15:20:07+00:00,-74
75,nytimes,0.0,0.87,0.13,-0.4019,2018-08-28 15:10:07+00:00,-75
76,nytimes,0.0,0.672,0.328,-0.8316,2018-08-28 15:00:09+00:00,-76
77,nytimes,0.155,0.845,0.0,0.5106,2018-08-28 14:44:05+00:00,-77
78,nytimes,0.0,0.791,0.209,-0.6486,2018-08-28 14:29:03+00:00,-78
79,nytimes,0.0,0.85,0.15,-0.4588,2018-08-28 14:00:07+00:00,-79
80,nytimes,0.0,0.874,0.126,-0.3818,2018-08-28 13:50:03+00:00,-80
81,nytimes,0.25,0.75,0.0,0.6124,2018-08-28 13:40:03+00:00,-81
82,nytimes,0.167,0.833,0.0,0.2023,2018-08-28 13:15:08+00:00,-82
83,nytimes,0.0,1.0,0.0,0.0,2018-08-28 13:00:08+00:00,-83
84,nytimes,0.111,0.889,0.0,0.25,2018-08-28 12:45:04+00:00,-84
85,nytimes,0.0,1.0,0.0,0.0,2018-08-28 12:30:17+00:00,-85
86,nytimes,0.108,0.502,0.391,-0.836,2018-08-28 12:14:04+00:00,-86
87,nytimes,0.0,0.881,0.119,-0.2263,2018-08-28 12:01:04+00:00,-87
88,nytimes,0.0,0.885,0.115,-0.296,2018-08-28 11:44:06+00:00,-88
89,nytimes,0.0,0.864,0.136,-0.4588,2018-08-28 11:31:05+00:00,-89
90,nytimes,0.0,0.642,0.358,-0.5994,2018-08-28 11:21:05+00:00,-90
91,nytimes,0.176,0.824,0.0,0.4576,2018-08-28 11:10:05+00:00,-91
92,nytimes,0.132,0.868,0.0,0.4939,2018-08-28 11:00:11+00:00,-92
93,nytimes,0.0,1.0,0.0,0.0,2018-08-28 10:45:07+00:00,-93
94,nytimes,0.0,1.0,0.0,0.0,2018-08-28 10:31:03+00:00,-94
95,nytimes,0.186,0.599,0.216,-0.128,2018-08-28 10:15:03+00:00,-95
96,nytimes,0.049,0.672,0.28,-0.802,2018-08-28 10:00:08+00:00,-96
97,nytimes,0.0,1.0,0.0,0.0,2018-08-28 09:45:04+00:00,-97
98,nytimes,0.15,0.85,0.0,0.5719,2018-08-28 09:30:04+00:00,-98
99,nytimes,0.0,0.838,0.162,-0.2732,2018-08-28 09:15:06+00:00,-99
0,CBS,0.0,1.0,0.0,0.0,2018-08-27 23:36:57+00:00,0
1,CBS,0.0,0.879,0.121,-0.4389,2018-08-24 20:30:16+00:00,-1
2,CBS,0.0,1.0,0.0,0.0,2018-08-22 20:55:25+00:00,-2
3,CBS,0.0,1.0,0.0,0.0,2018-08-22 20:10:12+00:00,-3
4,CBS,0.171,0.829,0.0,0.5423,2018-08-20 21:59:56+00:00,-4
5,CBS,0.113,0.887,0.0,0.3182,2018-08-17 17:42:02+00:00,-5
6,CBS,0.0,1.0,0.0,0.0,2018-08-16 18:40:09+00:00,-6
7,CBS,0.092,0.72,0.188,-0.5267,2018-08-16 00:09:03+00:00,-7
8,CBS,0.0,1.0,0.0,0.0,2018-08-12 23:30:02+00:00,-8
9,CBS,0.126,0.874,0.0,0.4389,2018-08-12 15:04:59+00:00,-9
10,CBS,0.0,0.897,0.103,-0.3182,2018-08-11 18:00:00+00:00,-10
11,CBS,0.144,0.856,0.0,0.4926,2018-08-11 15:00:02+00:00,-11
12,CBS,0.419,0.581,0.0,0.8957,2018-08-10 22:28:55+00:00,-12
13,CBS,0.0,1.0,0.0,0.0,2018-08-10 19:59:14+00:00,-13
14,CBS,0.255,0.745,0.0,0.6696,2018-08-09 21:00:00+00:00,-14
15,CBS,0.28,0.72,0.0,0.7901,2018-08-09 18:47:00+00:00,-15
16,CBS,0.209,0.791,0.0,0.6696,2018-08-08 16:05:11+00:00,-16
17,CBS,0.0,1.0,0.0,0.0,2018-08-07 16:06:57+00:00,-17
18,CBS,0.111,0.889,0.0,0.3612,2018-08-06 00:20:55+00:00,-18
